Username,Comment,Duplicate_Count,Fake_Score,Fake_Detection
@pushpaRajQuotes,విష్ణు బ్రహ్మీ శ్రీహరి  మూవీని నిలబెట్టారు విష్ణు జన్మ ధన్యం ఈ ఒక్క మూవీ తో😂😂,1,2,Suspicious
@Kiran1998.,"Okkapudu koncham respect undee 😂😂
Andukee anavasanga overreacting cheyyodu 🤣",1,0,Real
@viswanathagupta9991,పాత విషయమైనా కొత్తగా చెప్పారు. కొన్ని చోట్ల బ్రతుకును విశ్లేషించే మాటలున్నాయి . అభినందనలు. టైం పాస్ కు ఒకే... సిపివి గుప్త.,1,2,Suspicious
@venkateshwarankollengud5672,Super Dialogue Sri Hari,1,0,Real
@venkateshwarankollengud5672,Super Super Super Super,1,0,Real
@bharathkumar2312,Asalu e movie raviteja chesunte next level untadi movie,1,0,Real
@IdeaVsm,Brammandham qualics introduce cheseytapudu iddhari perlu correct ga chepthadu tharuvatha malli valla perlu thappu chepthadu watch 1:3and 2:29,1,0,Real
@RahimShaik-d4n,❤❤❤❤❤❤❤❤❤❤❤❤❤❤️💖💖💖,1,3,Suspicious
@KumarKumar-ci9pc,😂😂manchi comidi andi,1,0,Real
@sureshgoud438,26:20 😂😂😂..,1,1,Real
@rajanikanthist,Correct story correct director thagilithe 100days pakka,1,0,Real
@t.v.csekhar3514,Ad promotion excellent ga chesav bro😂,1,0,Real
@penubadinaveen5290,This script is only written for raviteja but mohan babu forced him to do film with vishnu that's why it's happen,1,0,Real
@Nagendra-z6z,Vishnu acting super,2,2,Suspicious
@balaaaa4258,Srihari garu a legend ❤❤❤❤❤,1,0,Real
@sivaramaditya4610,Ee movie evaru hero chesina hit ayyedi,1,0,Real
@venkateshwarankollengud5672,Sri Hari And Chandra Mohan Super Duper Acting,1,0,Real
@chetan2676,35:04 😂😂,1,1,Real
@sudarshannellutla1086,చంద్రమోహన్ కామెడీ సినిమాలు వేయండి,1,2,Suspicious
@PraviWorld,విష్ణు టైమింగ్ సుపెర్బ్ ఈ మూవీలో,1,2,Suspicious
@TastyBitesOffical7,9:39 Yamadonga bgm😂,1,0,Real
@Kodelliprasadbabu-ys3qf,Super block Bastar movie కామర్షేయల్ comedy scenes Telugu ఇండస్ట్రీ 🇮🇳😘🌹,1,2,Suspicious
@avvariprasad5733,Super comedy movie 😂😂😂😂,1,0,Real
@rkgraphics1,Best Acting by Srihari sir,1,0,Real
@sathwik2000,Sri Hari Garu♥️,1,0,Real
@StenTeanku,"Production house knows, director & actor knows, public knows, we all know its gonna be a big flop. Judging it by seeing trailer. I dont wish bad but.  Its terms to happen.",1,0,Real
@echennayya-rj8hy,VGnHipluokmmok👉🏚️🤣🙎ahiokyokty1000,1,1,Real
@vijaykumaralic,This movie will be remembered for Srihari and Brahmi sir,1,0,Real
@bsreddys5881,35:03 😂😂😂😂😂😂😂😂,1,3,Suspicious
@vamshikatta3413,"Brahmanandam, sunil and jayaprakash reddy comedy superb❤",1,0,Real
@pango2174,Pilla pandi pilla pandi,1,0,Real
@sekharkajjala8519,Only bramhi sir,1,0,Real
@Iconic54367,Over action comedy,1,1,Real
@RAVIKUMAR-sw8jg,Nice movie 😍😍🍿🍿,1,0,Real
@kiranmathapati3835,Telugu industry miss most talented Sri Hari gaaru really we miss you sir you always there in our hearts,1,0,Real
@Kiran.0000,1. Of the best movie film of srin vaitla,1,0,Real
@pillaraa45,1:19 😂😂😂,1,1,Real
@shaikabdulwahab7950,"విష్ణు గారూ...మీరు మంచి నటులు, మీ తండ్రి మోహన్ బాబు గారు నిజంగా మంచి రూపం, వాచకం, అభినయం గల అద్భుతమైన నటుడు. కానీ కేవలం సభా సంస్కారం లేక సొంత భజన కారణంగా ప్రేక్షకులకు దూరమయ్యారు...",1,2,Suspicious
@messiboda5156,Vishnu carrier lo best movie ante idhe one of my fevart 1 😅😂,1,0,Real
@esyentertainment,https://youtube.com/@esyentertainment,1,4,Suspicious
@VaddhiparthiKameswrarao,😮,1,1,Real
@jalagamvenkatasatyanarayan9806,ఢీ  మంచి కామెడీ ఎంటర్టైనర్. విష్ణు యాక్షన్ సూపర్.,1,2,Suspicious
@sivayanamahaa,June - 2023,1,0,Real
@occhichaocchicha9931,Nammalaindhi director ni.. dhardragootu back ground ni kaadhu.,1,0,Real
@vsubramani9131,Enni saarulu chuchinaa visukuputtani cinimaa,1,0,Real
@surnisusriharibabu7620,జయప్రకాష్ దీంట్లో భలే చేశారు 😂😂😂😂😂,1,2,Suspicious
@shahiedhasan,We Really Miss You Real Star Sri Hari Anna,1,0,Real
@MANIKANTA116TELUGU,Hi,3,3,Suspicious
@gangstar6332,35:33 rey lakalaka 🤣🤣,1,0,Real
@koreshgudavalli6831,super,3,3,Suspicious
@krushnavarma1239,15:08,1,1,Real
@nagashankarnagashankar5198,Hi,3,3,Suspicious
@saishetty6853,Ilanti cinema lu paduntey Manoj anna ediko vellipoye vaadu papam carrier nashanam chesaru,1,0,Real
@chandrakalap4112,MopKippP,1,1,Real
@channelnawaz,https://youtu.be/5aFJTHpefgA,1,4,Suspicious
@shashwanthkumardivakaruni7818,Dynamic Star Manchu Vishnu fans Association tharapuga Greetings.🍍🍍🍍,1,0,Real
@olahyd4397,Srihari sir🙏,1,1,Real
@mdkhaja154,Super movie,3,3,Suspicious
@chavalisrikar6342,Missing this sort of comedy which is generated organically due to good plot in recent movies.,1,0,Real
@Sandeep-ou4vt,2023 Jan 26,1,0,Real
@Reddyshekar-my6yu,20.49 😂😂😂😂😂😂😂😂,1,3,Suspicious
@svpl88,Aa andhaniki aa face cut ki meeru iche value entha andi,1,0,Real
@sivaramkrishnaprasad4338,Excellent actor very good person,1,0,Real
@phanipravyakth2889,26:31 scene motham  background lo suni acting 😂😂😂,1,0,Real
@sabbavarapusaikumar6031,4,1,1,Real
@kasamolaanitha9921,Ķemembertkeepcommekioioioioio899th I,1,1,Real
@sshafi9519,E movie hero anna sh,1,0,Real
@RaghuRam-rj4cu,38:53,1,1,Real
@chinnichinna2912,Vishnu gaadu waste lanjakoduku,1,0,Real
@pings007,Sri Hari and Brahmanandam carried this movie on their shoulders!,1,0,Real
@nnarendhar2423,తెలంగాణ ముద్దుబిడ్డ శ్రీహరి గారికి నాయొక్క కృతజ్ఞతలు,1,2,Suspicious
@dukepilotmr.3903,2022 lo chusevallu oka like eskondi ❤️😍,1,0,Real
@narasimhalol7795,35:00 ultimate 🤣,1,0,Real
@prakashraoutala9566,I LOVE THIS MOVIE 🥰😍🍿,1,0,Real
@baluk84,Neechulu eppudoo neechangane matladatharu Rao garu.🤩🤩😁😆🤣🤣😊,1,0,Real
@darling1070,"ఇంత మంచి టాలెంట్ పెట్టుకుని ఆ ఓవరాక్షన్ ,మంచి సినిమాలు చేయక కెరీర్ చెడగొట్టుకున్నవ్ కథ విష్ణు అన్న",1,2,Suspicious
